ISBN,Title,Author,Imprint,Publisher Group,Volume,Value,RRP,ASP,Binding,Publ Date,Product Class
9780755331420,"Interpretation of Murder,The","Rubenfeld, Jed",Headline Review,Headline Grp,950686,5425925 6,799,571,Paperback,15 Jan 2007,"F2 1  Crime, Thriller & Adventure"
9781849162746,"Girl Who Kicked the Hornets' Nest,The:Millennium Trilogy","Larsson, Stieg",Quercus Publishing Plc,Quercus Grp,942103,4841500 15,799,514,Paperback,1 Apr 2010,"F2 1  Crime, Thriller & Adventure"
9780330367356,Bridget Jones: The Edge of Reason,"Fielding, Helen",Picador,Pan Macmillan Grp,923429,5495835 32,799,595,Paperback,15 Jun 2000,F1 1  General & Literary Fiction
9780141020525,"Short History of Tractors in Ukrainian,A","Lewycka, Marina",Penguin Books,Penguin Grp,904498,5710250 78,799,631,Paperback,2 Mar 2006,F1 1  General & Literary Fiction
9780722532935,"Alchemist,The:A Fable About Following Your Dream","Coelho, Paulo",Thorsons,HarperCollins Grp,903395,6370730 3,799,705,Paperback,6 Sep 1999,F1 1  General & Literary Fiction
9780552996006,Notes from a Small Island,"Bryson, Bill",Black Swan,Transworld Grp,898388,6390460 37,899,711,Paperback,1 Aug 1996,T8 5  Travel Writing
9780099487821,"Boy in the Striped Pyjamas,The ","Boyne, John",Definitions,Transworld Grp,885450,4557735 53,699,568,Paperback,1 Feb 2007,Y2 2  Young Adult Fiction
9780141011905,Stupid White Men:   and Other Sorry Excuses for the State of the Natio,"Moore, Michael",Penguin Books,Penguin Grp,877777,6162996 63,799,702,Paperback,3 Oct 2002,T7 5  Current Affairs & Issues
9780718154776,Jamie's 30-minute Meals,"Oliver, Jamie",Michael Joseph,Penguin Grp,874546,11297761 32,2600,1292,Hardback,30 Sep 2010,T16 0  Food & Drink: General
9780099457169,"Broker,The","Grisham, John",Arrow Books,Random House Grp,869077,4216937 77,799,485,Paperback,27 Aug 2005,"F2 1  Crime, Thriller & Adventure"
9780330332774,Bridget Jones's Diary:A Novel,"Fielding, Helen",Picador,Pan Macmillan Grp,858390,5310481 76,799,619,Paperback,20 Jun 1997,F1 1  General & Literary Fiction
9780241003008,"Very Hungry Caterpillar,The:The Very Hungry Caterpillar","Carle, Eric",Puffin Books,Penguin Grp,855920,4101816 11,599,479,Hardback,29 Sep 1994,Y1 1  Pre-school & Early Learning
9780747582977,"Thousand Splendid Suns,A","Hosseini, Khaled",Bloomsbury Publishing PLC,Bloomsbury Grp,855523,8146523 92,1199,952,Paperback,22 May 2007,F1 1  General & Literary Fiction
9781846051616,"Sound of Laughter,The","Kay, Peter",Century,Random House Grp,853499,9308356 2,1899,1091,Hardback,5 Oct 2006,T4 0A  Autobiography: General
9780718147709,Jamie's Italy,"Oliver, Jamie",Michael Joseph,Penguin Grp,833060,9379860 94,2500,1126,Hardback,3 Oct 2005,T16 1  National & Regional Cuisine
9780755307500,Small Island ,"Levy, Andrea",Headline Review,Headline Grp,831039,5066748 17,799,622,Paperback,13 Sep 2004,F1 1  General & Literary Fiction
9780141030142,"Memory Keeper's Daughter,The","Edwards, Kim",Penguin Books,Penguin Grp,820877,4531503 79,799,552,Paperback,26 Apr 2007,F1 1  General & Literary Fiction
9780007110926,Billy Connolly,"Stephenson, Pamela",HarperCollins Publishers,HarperCollins Grp,801133,4350571 24,899,543,Paperback,8 Jul 2002,T4 1  Biography: The Arts
9780330448444,"House at Riverton,The","Morton, Kate",Pan Books,Pan Macmillan Grp,793338,4268735 29,799,538,Paperback,15 Jun 2007,F1 1  General & Literary Fiction
9780747561071,Harry Potter and the Order of the Phoenix ,"Rowling, J  K ",Bloomsbury Publishing PLC,Bloomsbury Grp,788619,4488324 82,799,566,Paperback,10 Jul 2004,Y2 1  Children's Fiction
9780701181840,Nigella Express,"Lawson, Nigella",Chatto & Windus,Random House Grp,780665,11089668 94,2500,1421,Hardback,6 Sep 2007,T16 0  Food & Drink: General
9780099771517,Memoirs of a Geisha,"Golden, Arthur",Vintage,Random House Grp,766706,5143233 76,799,671,Paperback,4 Jun 1998,F1 1  General & Literary Fiction
9780563384311,Delia's How to Cook:(Bk 2) ,"Smith, Delia",BBC Books (Random House),Random House Grp,765246,8788133 69,2000,1148,Hardback,9 Dec 1999,T16 0  Food & Drink: General
9780590112895,"Subtle Knife,The:His Dark Materials S ","Pullman, Philip",Point,Scholastic Ltd  Grp,762717,4335233 24,699,568,Paperback,16 Oct 1998,Y2 2  Young Adult Fiction
9780718148621,Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours,"Oliver, Jamie",Michael Joseph,Penguin Grp,759900,9602472 4,2500,1264,Hardback,3 Oct 2008,T16 0  Food & Drink: General
9781904994367,Guinness World Records 2009:2009,,Guinness World Records,Guinness Publisher Group,747715,7369687 78,2000,986,Hardback,17 Sep 2008,T2 0  Encyclopedias & General Reference
9781861978769,Why Don't Penguins' Feet Freeze?:And 114 Other Questions,,Profile Books,Profile Books Group,746917,3792483 43,799,508,Paperback,5 Oct 2006,T8 0  Popular Science
9780718152437,Jamie at Home:Cook Your Way to the Good Life,"Oliver, Jamie",Michael Joseph,Penguin Grp,741643,10695848 54,3000,1442,Hardback,6 Sep 2007,T16 0  Food & Drink: General
